ville,hotel,url,distance,adresse,score,description,latitude_hotel,longitude_hotel
Aigues-Mortes,Maison Aigues-Mortes 8 couchages,https://www.booking.com/hotel/fr/maison-aigues-mortes-8-couchages.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,"0,6 km du centre","296 Route de Nîmes, 30220 Aigues-Mortes, France",9.0,"Situé à Aigues-Mortes, à 26 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, La Maison Aigues-Mortes 8 couchages dispose d'une terrasse et de la climatisation. Il se trouve à 31 km de l'hôtel de ville de Montpellier et à 34 km du Corum.",43.5720711,4.1935493
Aigues-Mortes,le dit vin secret,https://www.booking.com/hotel/fr/le-dit-vin-secret.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,100 m du centre,"13 rue sadi carnot 13 rue sadi carnot, 30220 Aigues-Mortes, France",8.8,Vous pouvez bénéficier d'une réduction Genius dans l'établissement le dit vin secret !,43.566769,4.189113
Aigues-Mortes,Les Manades,https://www.booking.com/hotel/fr/les-manades.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,350 m du centre,"32 Place de Verdun, 30220 Aigues-Mortes, France",8.7,Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Manades !,43.5700838,4.1911109
Aigues-Mortes,Charmant appartement au cœur des remparts,https://www.booking.com/hotel/fr/charmant-appartement-au-coeur-des-remparts.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,150 m du centre,"14 Rue Marceau, 30220 Aigues-Mortes, France",8.6,Vous pouvez bénéficier d'une réduction Genius dans l'établissement Charmant appartement au cœur des remparts !,43.565698600000005,4.190879300000001
Aigues-Mortes,Hotel Canal Aigues Mortes,https://www.booking.com/hotel/fr/canal-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"0,8 km du centre","440 Route De Nimes, 30220 Aigues-Mortes, France",8.5,Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Canal Aigues Mortes !,43.572987520084595,4.19482469558716
Aigues-Mortes,Marina 120m²/8 pers/ terrasse 100m²/ appontement,https://www.booking.com/hotel/fr/marina-120m2-8-pers-terrasse-100m2-appontement.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,1 km du centre,"7 1015 Avenue de la Mont Joye, 30220 Aigues-Mortes, France",8.499243379571247,"Set in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellier, Marina 120m²/8 pers/ terrasse 100m²/ appontement offers accommodation with free WiFi, air conditioning, a shared lounge and a garden. Boasting free private parking, the holiday home is in an area where guests can engage in activities such as hiking and fishing.",43.575428226201,4.187290556483
Aigues-Mortes,Marina Aigues-Mortes ****,https://www.booking.com/hotel/fr/marina-aigues-mortes-aigues-mortes1.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"0,9 km du centre","486 Avenue de la Mont Joye, 30220 Aigues-Mortes, France",8.499243379571247,"Situé à Aigues-Mortes, à 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, le Marina Aigues-Mortes Cet appartement climatisé comprend un jardin. Situé sur le front de mer, cet établissement dispose d'un barbecue et d'une terrasse.",43.575085836324,4.190923673016
Aigues-Mortes,MAS DE LA GAUJOUZE,https://www.booking.com/hotel/fr/mas-de-la-gaujouze.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,"2,3 km du centre","SALINS D'AIGUES MORTES - ROUTE DU GRAU DU ROI, 30220 Aigues-Mortes, France",8.499243379571247,"Situé à Aigues-Mortes, en Occitanie, le MAS DE LA GAUJOUZE dispose d'un balcon. Situé à 28 km de la salle omnisports Montpellier Arena, il dispose d'un jardin et d'un parking privé gratuit.",43.5793021,4.2128337
Aigues-Mortes,"appartement n2 centre village, clim, parking gratuit",https://www.booking.com/hotel/fr/appartement-n2-centre-village-clim-parking-gratuit.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,300 m du centre,"8 Rue Faubourg national, 30220 Aigues-Mortes, France",8.499243379571247,"Situated in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellier, appartement n2 centre village, clim, parking gratuit offers free WiFi and air conditioning. The property is 29 km from Montpellier Town Hall and 32 km from The Corum.",43.5672407,4.193800700000001
Aigues-Mortes,Hôtel Saint Louis,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,100 m du centre,"10, Rue Amiral Courbet, 30220 Aigues-Mortes, France",8.4,Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Saint Louis !,43.567219671571095,4.189343601465225
Aigues-Mortes,Péniche Poompui,https://www.booking.com/hotel/fr/pa-c-niche-poompui.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,250 m du centre,"26 Quai des Croisades, 30220 Aigues-Mortes, France",8.3,"Ce bateau de style anglais donne sur les murs fortifiés d'Aigues-Mortes. Situé à 7 km de la mer Méditerranée, il est doté de la climatisation, d'une terrasse privée aménagée et d'un minibar.",43.5675111866014,4.18730485429478
Aigues-Mortes,Marina dans résidence avec piscine,https://www.booking.com/hotel/fr/marina-dans-residence-avec-piscine.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"1,1 km du centre","Quai Saint Louis villa 19 1090 Avenue de la Mont Joye, 30220 Aigues-Mortes, France",8.3,"Situé à Aigues-Mortes, le Marina dans résidence avec piscine propose un hébergement climatisé avec un balcon. Offrant une vue sur le jardin, il se trouve à 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier.",43.57588096732,4.185214292682
Aigues-Mortes,Maison T4 -Jardin+ Parking+ Clim -Proche Remparts,https://www.booking.com/hotel/fr/maison-t4-jardin-parking-clim-proche-remparts.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,"1,2 km du centre","551 Chemin du Bosquet, 30220 Aigues-Mortes, France",8.1,Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison T4 -Jardin+ Parking+ Clim -Proche Remparts !,43.5658193,4.2053528
Aigues-Mortes,Studio neuf avec jardin Aigues Mortes,https://www.booking.com/hotel/fr/studio-neuf-avec-jardin-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,"0,7 km du centre","3 Impasse Aficion, 30220 Aigues-Mortes, France",8.0,"Situé à Aigues-Mortes, à 23 km du parc des expositions de Montpellier et à 27 km du Zénith Sud Montpellier, le Studio neuf avec jardin Aigues Mortes dispose d'une terrasse et de la climatisation. Situé à 23 km de la salle omnisports Montpellier Arena, l'établissement possède un jardin et un parking privé gratuit.",43.570471626781,4.183348779552
Aigues-Mortes,Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel,https://www.booking.com/hotel/fr/le-royal-hotel-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALlquGcBsACAdICJGQ1ZjA5ZGE0LWQyNGQtNDU3Zi04ZmQxLTVhOTQ4NjgwNjUzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e87b4a72125d005a&srepoch=1670927718&from=searchresults#hotelTmpl,"1,2 km du centre","939, Route De Nîmes, 30220 Aigues-Mortes, France",7.0,"Doté d'une connexion Wi-Fi gratuite et d'une piscine extérieure ouverte en saison, le Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel se trouve à Aigues-Mortes, à 15 minutes de route du parc naturel régional de Camargue. La plage la plus proche est à 15 minutes de route. Un parking gratuit est à votre disposition sur place.",43.5763958878737,4.19781804084778
Aix-en-Provence,Domaine Bellefontaine,https://www.booking.com/hotel/fr/domaine-bellefontaine-aix-en-provence.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuOq4ZwGwAIB0gIkMDM3NDNjNzItMmUzYy00ZDUxLTliNzUtZWMwMjQyMzM4OTIw2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a8c84a71288d0130&srepoch=1670927716&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2 km du centre,"DOMAINE BELLEFONTAINE Avenue de l'Arc de Meyran, 13100 Aix-en-Provence, France",10.0,"Situé à Aix-en-Provence, le Domaine Bellefontaine propose un hébergement à 31 km de la gare de Marseille Saint-Charles et de la station de métro Joliette.",43.511191375738,5.457828618832
Aix-en-Provence,La Parenthese Saint Donat,https://www.booking.com/hotel/fr/la-parenthese-saint-donat.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuOq4ZwGwAIB0gIkMDM3NDNjNzItMmUzYy00ZDUxLTliNzUtZWMwMjQyMzM4OTIw2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=a8c84a71288d0130&srepoch=1670927716&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"3,1 km du centre","1654 Chemin Saint Donat, 13100 Aix-en-Provence, France",9.8,"Doté d'une connexion Wi-Fi gratuite, d'une terrasse bien exposée avec une piscine et d'un jardin, l'établissement La Parenthese Saint Donat est situé à Aix-en-Provence. Vous séjournerez à 36 km de la gare de Marseille-Saint-Charles, à 36 km de la station de métro Joliette et à 37 km du centre commercial Les Terrasses du Port. L'établissement se trouve à 37 km de la rue Saint-Ferréol et de la station de métro Castellane.",43.553075,5.454037
